target_num,target_is_prime,target_str,target_factor_list,pred_str,beam_idx,log_prob,n_target_factors,pred_factor_list,n_pred_factors,product,correct_product,correct_factorization,num_prime_factors_pred,percent_prime_factors_pred
9,False,>11x11.,"[3, 3]",>10011,0,-0.9311090707778931,2,[19],1,19.0,False,False,1.0,1.0
9,False,>11x11.,"[3, 3]",>11x11x11,1,-1.9417306184768677,2,"[3, 3, 3]",3,27.0,False,False,3.0,1.0
10,False,>10x101.,"[2, 5]",>10x101,0,-0.7233844995498657,2,"[2, 5]",2,10.0,True,True,2.0,1.0
10,False,>10x101.,"[2, 5]",>10x11x11,1,-2.0046472549438477,2,"[2, 3, 3]",3,18.0,False,False,3.0,1.0
15,False,>11x101.,"[3, 5]",>1111,0,-1.2645246982574463,2,[15],1,15.0,True,False,0.0,0.0
15,False,>11x101.,"[3, 5]",>11x11x11,1,-2.279782295227051,2,"[3, 3, 3]",3,27.0,False,False,3.0,1.0
19,True,>10011.,[19],>100111,0,-1.3811206817626953,1,[39],1,39.0,False,False,0.0,0.0
19,True,>10011.,[19],>11x11x111,1,-1.9253220558166504,1,"[3, 3, 7]",3,63.0,False,False,3.0,1.0
21,False,>11x111.,"[3, 7]",>10101,0,-1.423480749130249,2,[21],1,21.0,True,False,0.0,0.0
21,False,>11x111.,"[3, 7]",>101011,1,-1.6571059226989746,2,[43],1,43.0,False,False,1.0,1.0
22,False,>10x1011.,"[2, 11]",>10x1011,0,-0.70944744348526,2,"[2, 11]",2,22.0,True,True,2.0,1.0
22,False,>10x1011.,"[2, 11]",>10x11x111,1,-1.363369107246399,2,"[2, 3, 7]",3,42.0,False,False,3.0,1.0
29,True,>11101.,[29],>11101,0,-1.08000648021698,1,[29],1,29.0,True,True,1.0,1.0
29,True,>11101.,[29],>11x1011,1,-2.913466453552246,1,"[3, 11]",2,33.0,False,False,2.0,1.0
40,False,>10x10x10x101.,"[2, 2, 2, 5]",>10x10x10x101,0,-0.3414050340652466,4,"[2, 2, 2, 5]",4,40.0,True,True,4.0,1.0
40,False,>10x10x10x101.,"[2, 2, 2, 5]",>10x10x10x11x11,1,-1.8496136665344238,4,"[2, 2, 2, 3, 3]",5,72.0,False,False,5.0,1.0
54,False,>10x11x11x11.,"[2, 3, 3, 3]",>10x11011,0,-1.081764817237854,4,"[2, 27]",2,54.0,True,False,1.0,0.5
54,False,>10x11x11x11.,"[2, 3, 3, 3]",>10x11x1001,1,-1.9955543279647827,4,"[2, 3, 9]",3,54.0,True,False,2.0,0.6666666666666666
68,False,>10x10x10001.,"[2, 2, 17]",>10x10x10001,0,-0.7521282434463501,3,"[2, 2, 17]",3,68.0,True,True,3.0,1.0
68,False,>10x10x10001.,"[2, 2, 17]",>10x10x11x101,1,-1.6820985078811646,3,"[2, 2, 3, 5]",4,60.0,False,False,4.0,1.0
70,False,>10x101x111.,"[2, 5, 7]",>10x100011,0,-0.8433158993721008,3,"[2, 35]",2,70.0,True,False,1.0,0.5
70,False,>10x101x111.,"[2, 5, 7]",>10x11x1011,1,-1.7519879341125488,3,"[2, 3, 11]",3,66.0,False,False,3.0,1.0
72,False,>10x10x10x11x11.,"[2, 2, 2, 3, 3]",>10x10x10x1001,0,-0.4945407807826996,5,"[2, 2, 2, 9]",4,72.0,True,False,3.0,0.75
72,False,>10x10x10x11x11.,"[2, 2, 2, 3, 3]",>10x10x10x11x11,1,-1.6074061393737793,5,"[2, 2, 2, 3, 3]",5,72.0,True,True,5.0,1.0
74,False,>10x100101.,"[2, 37]",>10x100101,0,-0.8693466782569885,2,"[2, 37]",2,74.0,True,True,2.0,1.0
74,False,>10x100101.,"[2, 37]",>10x11x11x111,1,-1.9587236642837524,2,"[2, 3, 3, 7]",4,126.0,False,False,4.0,1.0
91,False,>111x1101.,"[7, 13]",>1011011,0,-0.9375089406967163,2,[91],1,91.0,True,False,0.0,0.0
91,False,>111x1101.,"[7, 13]",>11x11111,1,-2.613710641860962,2,"[3, 31]",2,93.0,False,False,2.0,1.0
100,False,>10x10x101x101.,"[2, 2, 5, 5]",>10x10x11001,0,-0.8786530494689941,4,"[2, 2, 25]",3,100.0,True,False,2.0,0.6666666666666666
100,False,>10x10x101x101.,"[2, 2, 5, 5]",>10x10x11x10001,1,-1.7999788522720337,4,"[2, 2, 3, 17]",4,204.0,False,False,4.0,1.0
105,False,>11x101x111.,"[3, 5, 7]",>1101001,0,-1.136572241783142,3,[105],1,105.0,True,False,0.0,0.0
105,False,>11x101x111.,"[3, 5, 7]",>11x100011,1,-2.064612627029419,3,"[3, 35]",2,105.0,True,False,1.0,0.5
111,False,>11x100101.,"[3, 37]",>1101111,0,-1.1049373149871826,2,[111],1,111.0,True,False,0.0,0.0
111,False,>11x100101.,"[3, 37]",>11x100101,1,-1.9611327648162842,2,"[3, 37]",2,111.0,True,True,2.0,1.0
113,True,>1110001.,[113],>1110001,0,-1.0322412252426147,1,[113],1,113.0,True,True,1.0,1.0
113,True,>1110001.,[113],>11x100111,1,-2.567368984222412,1,"[3, 39]",2,117.0,False,False,1.0,0.5
116,False,>10x10x11101.,"[2, 2, 29]",>10x10x11101,0,-0.7651803493499756,3,"[2, 2, 29]",3,116.0,True,True,3.0,1.0
116,False,>10x10x11101.,"[2, 2, 29]",>10x10x11x10011,1,-2.7024357318878174,3,"[2, 2, 3, 19]",4,228.0,False,False,4.0,1.0
118,False,>10x111011.,"[2, 59]",>10x111011,0,-0.9264060854911804,2,"[2, 59]",2,118.0,True,True,2.0,1.0
118,False,>10x111011.,"[2, 59]",>10x11x10011,1,-2.6994435787200928,2,"[2, 3, 19]",3,114.0,False,False,3.0,1.0
120,False,>10x10x10x11x101.,"[2, 2, 2, 3, 5]",>10x10x10x1111,0,-0.597174882888794,5,"[2, 2, 2, 15]",4,120.0,True,False,3.0,0.75
120,False,>10x10x10x11x101.,"[2, 2, 2, 3, 5]",>10x10x10x11x101,1,-1.8749936819076538,5,"[2, 2, 2, 3, 5]",5,120.0,True,True,5.0,1.0
124,False,>10x10x11111.,"[2, 2, 31]",>10x10x11111,0,-0.8516900539398193,3,"[2, 2, 31]",3,124.0,True,True,3.0,1.0
124,False,>10x10x11111.,"[2, 2, 31]",>10x10x11x10101,1,-2.0438761711120605,3,"[2, 2, 3, 21]",4,252.0,False,False,3.0,0.75
142,False,>10x1000111.,"[2, 71]",>10x1000111,0,-0.8908026814460754,2,"[2, 71]",2,142.0,True,True,2.0,1.0
142,False,>10x1000111.,"[2, 71]",>10x11x10111,1,-2.7692861557006836,2,"[2, 3, 23]",3,138.0,False,False,3.0,1.0
145,False,>101x11101.,"[5, 29]",>10010001,0,-1.0730185508728027,2,[145],1,145.0,True,False,0.0,0.0
145,False,>101x11101.,"[5, 29]",>11x110001,1,-2.2402985095977783,2,"[3, 49]",2,147.0,False,False,1.0,0.5
146,False,>10x1001001.,"[2, 73]",>10x1001001,0,-0.944587767124176,2,"[2, 73]",2,146.0,True,True,2.0,1.0
146,False,>10x1001001.,"[2, 73]",>10x11x11x11x101,1,-2.5874180793762207,2,"[2, 3, 3, 3, 5]",5,270.0,False,False,5.0,1.0
149,True,>10010101.,[149],>10010101,0,-1.067821741104126,1,[149],1,149.0,True,True,1.0,1.0
149,True,>10010101.,[149],>11x110001,1,-2.1348180770874023,1,"[3, 49]",2,147.0,False,False,1.0,0.5
151,True,>10010111.,[151],>10010111,0,-1.0380573272705078,1,[151],1,151.0,True,True,1.0,1.0
151,True,>10010111.,[151],>11x1100101,1,-2.0411055088043213,1,"[3, 101]",2,303.0,False,False,2.0,1.0
153,False,>11x11x10001.,"[3, 3, 17]",>10011001,0,-1.0638484954833984,3,[153],1,153.0,True,False,0.0,0.0
153,False,>11x11x10001.,"[3, 3, 17]",>11x110011,1,-2.1474032402038574,3,"[3, 51]",2,153.0,True,False,1.0,0.5
157,True,>10011101.,[157],>10011101,0,-1.0454353094100952,1,[157],1,157.0,True,True,1.0,1.0
157,True,>10011101.,[157],>11x110101,1,-2.114591598510742,1,"[3, 53]",2,159.0,False,False,2.0,1.0
158,False,>10x1001111.,"[2, 79]",>10x1001111,0,-0.8700268864631653,2,"[2, 79]",2,158.0,True,True,2.0,1.0
158,False,>10x1001111.,"[2, 79]",>10x11x110101,1,-2.4477100372314453,2,"[2, 3, 53]",3,318.0,False,False,3.0,1.0
165,False,>11x101x1011.,"[3, 5, 11]",>10100101,0,-1.0081782341003418,3,[165],1,165.0,True,False,0.0,0.0
165,False,>11x101x1011.,"[3, 5, 11]",>11x11x10011,1,-2.72646427154541,3,"[3, 3, 19]",3,171.0,False,False,3.0,1.0
166,False,>10x1010011.,"[2, 83]",>10x1010011,0,-0.8954402208328247,2,"[2, 83]",2,166.0,True,True,2.0,1.0
166,False,>10x1010011.,"[2, 83]",>10x11x11x1001,1,-3.0983405113220215,2,"[2, 3, 3, 9]",4,162.0,False,False,3.0,0.75
167,True,>10100111.,[167],>10100111,0,-0.9616727232933044,1,[167],1,167.0,True,True,1.0,1.0
167,True,>10100111.,[167],>11x11x10011,1,-2.8826236724853516,1,"[3, 3, 19]",3,171.0,False,False,3.0,1.0
179,True,>10110011.,[179],>10110011,0,-0.9454740881919861,1,[179],1,179.0,True,True,1.0,1.0
