target_num,target_is_prime,input_string,target_str,target_factor_list,pred_str,beam_idx,log_prob,n_target_factors,pred_same_as_target,pred_factor_list,n_pred_factors,product,correct_product,correct_factorization,num_prime_factors_pred,percent_prime_factors_pred
9,False,100,>10x10.,"[3, 3]",>10x10,0,-0.018106823787093163,2,False,"[3, 3]",2,9,True,True,2.0,1.0
9,False,100,>10x10.,"[3, 3]",>10,1,-4.22521448135376,2,False,[3],1,3,False,False,1.0,1.0
10,False,101,>2x12.,"[2, 5]",>2x12,0,-0.685472309589386,2,False,"[2, 5]",2,10,True,True,2.0,1.0
10,False,101,>2x12.,"[2, 5]",>2x2x2x2x2,1,-1.1833981275558472,2,False,"[2, 2, 2, 2, 2]",5,32,False,False,5.0,1.0
15,False,120,>10x12.,"[3, 5]",>10x12,0,-0.0013546270783990622,2,False,"[3, 5]",2,15,True,True,2.0,1.0
15,False,120,>10x12.,"[3, 5]",>10x102,1,-7.242856502532959,2,False,"[3, 11]",2,33,False,False,2.0,1.0
19,True,201,>201.,[19],>12x102,0,-1.3477327823638916,1,False,"[5, 11]",2,55,False,False,2.0,1.0
19,True,201,>201.,[19],>2x1002,1,-1.6470190286636353,1,False,"[2, 29]",2,58,False,False,2.0,1.0
21,False,210,>10x21.,"[3, 7]",>10x21,0,-0.11624009907245636,2,False,"[3, 7]",2,21,True,True,2.0,1.0
21,False,210,>10x21.,"[3, 7]",>10x12x111,1,-2.2433524131774902,2,False,"[3, 5, 13]",3,195,False,False,3.0,1.0
22,False,211,>2x102.,"[2, 11]",>2111,0,-0.5303910374641418,2,False,[67],1,67,False,False,1.0,1.0
22,False,211,>2x102.,"[2, 11]",>2x102,1,-1.3786433935165405,2,False,"[2, 11]",2,22,True,True,2.0,1.0
29,True,1002,>1002.,[29],>1002,0,-0.00501904496923089,1,True,[29],1,29,True,True,1.0,1.0
29,True,1002,>1002.,[29],>12x122,1,-6.001597881317139,1,False,"[5, 17]",2,85,False,False,2.0,1.0
40,False,1111,>2x2x2x12.,"[2, 2, 2, 5]",>2x2021,0,-0.8133254647254944,4,False,"[2, 61]",2,122,False,False,2.0,1.0
40,False,1111,>2x2x2x12.,"[2, 2, 2, 5]",>2x2x2x2x21,1,-3.092639684677124,4,False,"[2, 2, 2, 2, 7]",5,112,False,False,5.0,1.0
54,False,2000,>2x10x10x10.,"[2, 3, 3, 3]",>2x10x10x10,0,-0.009950881823897362,4,False,"[2, 3, 3, 3]",4,54,True,True,4.0,1.0
54,False,2000,>2x10x10x10.,"[2, 3, 3, 3]",>2x2x10x10x111,1,-4.697885990142822,4,False,"[2, 2, 3, 3, 13]",5,468,False,False,5.0,1.0
68,False,2112,>2x2x122.,"[2, 2, 17]",>21121,0,-0.7623001933097839,3,False,[205],1,205,False,False,0.0,0.0
68,False,2112,>2x2x122.,"[2, 2, 17]",>2112,1,-2.0289626121520996,3,True,[68],1,68,True,False,0.0,0.0
70,False,2121,>2x12x21.,"[2, 5, 7]",>21211,0,-0.612956166267395,3,False,[211],1,211,False,False,1.0,1.0
70,False,2121,>2x12x21.,"[2, 5, 7]",>2x2x2x2x2x2,1,-2.585247039794922,3,False,"[2, 2, 2, 2, 2, 2]",6,64,False,False,6.0,1.0
72,False,2200,>2x2x2x10x10.,"[2, 2, 2, 3, 3]",>2x2x2x10x10,0,-0.452759325504303,5,False,"[2, 2, 2, 3, 3]",5,72,True,True,5.0,1.0
72,False,2200,>2x2x2x10x10.,"[2, 2, 2, 3, 3]",>2x10x10x111,1,-1.0158592462539673,5,False,"[2, 3, 3, 13]",4,234,False,False,4.0,1.0
74,False,2202,>2x1101.,"[2, 37]",>2202,0,-1.3493046760559082,2,True,[74],1,74,True,False,0.0,0.0
74,False,2202,>2x1101.,"[2, 37]",>2x2x2001,1,-1.4945894479751587,2,False,"[2, 2, 55]",3,220,False,False,2.0,0.6666666666666666
91,False,10101,>21x111.,"[7, 13]",>10101,0,-0.7722480297088623,2,True,[91],1,91,True,False,0.0,0.0
91,False,10101,>21x111.,"[7, 13]",>12x2001,1,-1.1738109588623047,2,False,"[5, 55]",2,275,False,False,1.0,0.5
100,False,10201,>2x2x12x12.,"[2, 2, 5, 5]",>2x12121,0,-1.2220728397369385,4,False,"[2, 151]",2,302,False,False,2.0,1.0
100,False,10201,>2x2x12x12.,"[2, 2, 5, 5]",>2x2x2x2x2x10,1,-2.3397328853607178,4,False,"[2, 2, 2, 2, 2, 3]",6,96,False,False,6.0,1.0
105,False,10220,>10x12x21.,"[3, 5, 7]",>10x1022,0,-0.4970713257789612,3,False,"[3, 35]",2,105,True,False,1.0,0.5
105,False,10220,>10x12x21.,"[3, 5, 7]",>10x12x21,1,-0.9819232821464539,3,False,"[3, 5, 7]",3,105,True,True,3.0,1.0
111,False,11010,>10x1101.,"[3, 37]",>10x1101,0,-0.12031710147857666,2,False,"[3, 37]",2,111,True,True,2.0,1.0
111,False,11010,>10x1101.,"[3, 37]",>10x21x12,1,-3.27838134765625,2,False,"[3, 7, 5]",3,105,False,False,3.0,1.0
113,True,11012,>11012.,[113],>11012,0,-0.6122678518295288,1,True,[113],1,113,True,True,1.0,1.0
