target_num,target_is_prime,input_string,target_str,target_factor_list,pred_str,beam_idx,log_prob,n_target_factors,pred_same_as_target,pred_factor_list,n_pred_factors,product,correct_product,correct_factorization,num_prime_factors_pred,percent_prime_factors_pred
9,False,11,>3x3.,"[3, 3]",>3x3._,0,-0.33624908328056335,2,False,"[3, 3]",2,9,True,True,2,1.0
9,False,11,>3x3.,"[3, 3]",>5x15.,1,-1.773850679397583,2,False,"[5, 13]",2,65,False,False,2,1.0
10,False,12,>2x5.,"[2, 5]",>2x5.____,0,-0.0005362136289477348,2,False,"[2, 5]",2,10,True,True,2,1.0
10,False,12,>2x5.,"[2, 5]",>2x3x3x5.,1,-8.631220817565918,2,False,"[2, 3, 3, 5]",4,90,False,False,4,1.0
15,False,17,>3x5.,"[3, 5]",>17.___,0,-0.2401423305273056,2,False,[15],1,15,True,False,0,0.0
15,False,17,>3x5.,"[3, 5]",>13x13.,1,-2.148974657058716,2,False,"[11, 11]",2,121,False,False,2,1.0
19,True,23,>23.,[19],>23._,0,-0.01999831013381481,1,False,[19],1,19,True,True,1,1.0
19,True,23,>23.,[19],>5x3.,1,-4.2205491065979,1,False,"[5, 3]",2,15,False,False,2,1.0
21,False,25,>3x7.,"[3, 7]",>3x7._,0,-0.5834031105041504,2,False,"[3, 7]",2,21,True,True,2,1.0
21,False,25,>3x7.,"[3, 7]",>7x23.,1,-1.5669597387313843,2,False,"[7, 19]",2,133,False,False,2,1.0
22,False,26,>2x13.,"[2, 11]",>2x13._,0,-0.0029896441847085953,2,False,"[2, 11]",2,22,True,True,2,1.0
22,False,26,>2x13.,"[2, 11]",>2x131.,1,-5.996471405029297,2,False,"[2, 89]",2,178,False,False,2,1.0
29,True,35,>35.,[29],>35._,0,-0.0017237224383279681,1,False,[29],1,29,True,True,1,1.0
29,True,35,>35.,[29],>5x5.,1,-6.839632987976074,1,False,"[5, 5]",2,25,False,False,2,1.0
40,False,50,>2x2x2x5.,"[2, 2, 2, 5]",>2x2x2x5._,0,-0.00029205100145190954,4,False,"[2, 2, 2, 5]",4,40,True,True,4,1.0
40,False,50,>2x2x2x5.,"[2, 2, 2, 5]",>2x2x2x5.7,1,-9.21063232421875,4,False,"[2, 2, 2, 47]",4,376,False,False,4,1.0
54,False,66,>2x3x3x3.,"[2, 3, 3, 3]",>2x3x3x3.,0,-0.0031666564755141735,4,False,"[2, 3, 3, 3]",4,54,True,True,4,1.0
54,False,66,>2x3x3x3.,"[2, 3, 3, 3]",>2x5x5.__,1,-6.708681583404541,4,False,"[2, 5, 5]",3,50,False,False,3,1.0
68,False,104,>2x2x21.,"[2, 2, 17]",>2x2x21._,0,-5.495460573001765e-05,3,False,"[2, 2, 17]",3,68,True,True,3,1.0
68,False,104,>2x2x21.,"[2, 2, 17]",>2x2x21.7,1,-9.210395812988281,3,False,"[2, 2, 143]",3,572,False,False,2,0.6666666666666666
70,False,106,>2x5x7.,"[2, 5, 7]",>2x5x7._,0,-0.0011276676086708903,3,False,"[2, 5, 7]",3,70,True,True,3,1.0
70,False,106,>2x5x7.,"[2, 5, 7]",>2x3x13.,1,-7.307405948638916,3,False,"[2, 3, 11]",3,66,False,False,3,1.0
72,False,110,>2x2x2x3x3.,"[2, 2, 2, 3, 3]",>2x2x2x3x3._,0,-0.0012103376211598516,5,False,"[2, 2, 2, 3, 3]",5,72,True,True,5,1.0
72,False,110,>2x2x2x3x3.,"[2, 2, 2, 3, 3]",>2x2x2x5x15.,1,-7.8874993324279785,5,False,"[2, 2, 2, 5, 13]",5,520,False,False,5,1.0
74,False,112,>2x45.,"[2, 37]",>2x45._,0,-4.7086643462534994e-05,2,False,"[2, 37]",2,74,True,True,2,1.0
74,False,112,>2x45.,"[2, 37]",>2x45.7,1,-9.210387229919434,2,False,"[2, 303]",2,606,False,False,1,0.5
91,False,133,>7x15.,"[7, 13]",>7x15.,0,-0.0338326022028923,2,False,"[7, 13]",2,91,True,True,2,1.0
91,False,133,>7x15.,"[7, 13]",>5x23.,1,-4.113120079040527,2,False,"[5, 19]",2,95,False,False,2,1.0
100,False,144,>2x2x5x5.,"[2, 2, 5, 5]",>2x2x5x5._,0,-0.00013267529720906168,4,False,"[2, 2, 5, 5]",4,100,True,True,4,1.0
100,False,144,>2x2x5x5.,"[2, 2, 5, 5]",>2x2x5x5.7,1,-9.21047306060791,4,False,"[2, 2, 5, 47]",4,940,False,False,4,1.0
105,False,151,>3x5x7.,"[3, 5, 7]",>3x5x7.,0,-0.0866430476307869,3,False,"[3, 5, 7]",3,105,True,True,3,1.0
105,False,151,>3x5x7.,"[3, 5, 7]",>151.__,1,-3.3826518058776855,3,False,[105],1,105,True,False,0,0.0
111,False,157,>3x45.,"[3, 37]",>3x45.,0,-0.06571517139673233,2,False,"[3, 37]",2,111,True,True,2,1.0
111,False,157,>3x45.,"[3, 37]",>157._,1,-3.34999942779541,2,False,[111],1,111,True,False,0,0.0
113,True,161,>161.,[113],>161.____,0,-0.0028702763374894857,1,False,[113],1,113,True,True,1,1.0
113,True,161,>161.,[113],>3x3x141.,1,-7.454216003417969,1,False,"[3, 3, 97]",3,873,False,False,3,1.0
116,False,164,>2x2x35.,"[2, 2, 29]",>2x2x35._,0,-0.0006847711047157645,3,False,"[2, 2, 29]",3,116,True,True,3,1.0
116,False,164,>2x2x35.,"[2, 2, 29]",>2x2x5x7.,1,-8.280058860778809,3,False,"[2, 2, 5, 7]",4,140,False,False,4,1.0
118,False,166,>2x73.,"[2, 59]",>2x73.____,0,-0.001016406575217843,2,False,"[2, 59]",2,118,True,True,2,1.0
118,False,166,>2x73.,"[2, 59]",>2x3x7x27.,1,-7.194992542266846,2,False,"[2, 3, 7, 23]",4,966,False,False,4,1.0
120,False,170,>2x2x2x3x5.,"[2, 2, 2, 3, 5]",>2x2x2x3x5.,0,-0.001379575114697218,5,False,"[2, 2, 2, 3, 5]",5,120,True,True,5,1.0
120,False,170,>2x2x2x3x5.,"[2, 2, 2, 3, 5]",>2x2x2x17._,1,-7.10574197769165,5,False,"[2, 2, 2, 15]",4,120,True,False,3,0.75
124,False,174,>2x2x37.,"[2, 2, 31]",>2x2x37._,0,-0.00017451563326176256,3,False,"[2, 2, 31]",3,124,True,True,3,1.0
124,False,174,>2x2x37.,"[2, 2, 31]",>2x2x37.7,1,-9.210515022277832,3,False,"[2, 2, 255]",3,1020,False,False,2,0.6666666666666666
142,False,216,>2x107.,"[2, 71]",>2x107._,0,-0.0003530412504915148,2,False,"[2, 71]",2,142,True,True,2,1.0
142,False,216,>2x107.,"[2, 71]",>2x5x13.,1,-8.30577278137207,2,False,"[2, 5, 11]",3,110,False,False,3,1.0
145,False,221,>5x35.,"[5, 29]",>5x35.,0,-0.6302077770233154,2,False,"[5, 29]",2,145,True,True,2,1.0
145,False,221,>5x35.,"[5, 29]",>3x73.,1,-1.427456259727478,2,False,"[3, 59]",2,177,False,False,2,1.0
146,False,222,>2x111.,"[2, 73]",>2x111._____,0,-0.0004523048992268741,2,False,"[2, 73]",2,146,True,True,2,1.0
146,False,222,>2x111.,"[2, 73]",>2x3x3x3x21.,1,-7.988008975982666,2,False,"[2, 3, 3, 3, 17]",5,918,False,False,5,1.0
149,True,225,>225.,[149],>225.__,0,-0.03733653947710991,1,False,[149],1,149,True,True,1,1.0
149,True,225,>225.,[149],>3x7x7.,1,-3.9067494869232178,1,False,"[3, 7, 7]",3,147,False,False,3,1.0
151,True,227,>227.,[151],>3x3x3x5.,0,-0.9129614233970642,1,False,"[3, 3, 3, 5]",4,135,False,False,4,1.0
151,True,227,>227.,[151],>227.____,1,-1.0707812309265137,1,False,[151],1,151,True,True,1,1.0
153,False,231,>3x3x21.,"[3, 3, 17]",>3x3x21.,0,-0.003035093192011118,3,False,"[3, 3, 17]",3,153,True,True,3,1.0
153,False,231,>3x3x21.,"[3, 3, 17]",>5x35.__,1,-5.890185832977295,3,False,"[5, 29]",2,145,False,False,2,1.0
157,True,235,>235.,[157],>235._,0,-0.0051520518027246,1,False,[157],1,157,True,True,1,1.0
157,True,235,>235.,[157],>7x23.,1,-5.540799140930176,1,False,"[7, 19]",2,133,False,False,2,1.0
158,False,236,>2x117.,"[2, 79]",>2x117._____,0,-0.00021789176389575005,2,False,"[2, 79]",2,158,True,True,2,1.0
158,False,236,>2x117.,"[2, 79]",>2x3x3x3x27.,1,-9.133758544921875,2,False,"[2, 3, 3, 3, 23]",5,1242,False,False,5,1.0
165,False,245,>3x5x13.,"[3, 5, 11]",>3x5x13.,0,-0.021850736811757088,3,False,"[3, 5, 11]",3,165,True,True,3,1.0
165,False,245,>3x5x13.,"[3, 5, 11]",>245.___,1,-3.8500890731811523,3,False,[165],1,165,True,False,0,0.0
166,False,246,>2x123.,"[2, 83]",>2x123._,0,-0.0047381045296788216,2,False,"[2, 83]",2,166,True,True,2,1.0
166,False,246,>2x123.,"[2, 83]",>2x3x35.,1,-5.7517290115356445,2,False,"[2, 3, 29]",3,174,False,False,3,1.0
167,True,247,>247.,[167],>247.___,0,-0.00401846319437027,1,False,[167],1,167,True,True,1,1.0
167,True,247,>247.,[167],>3x5x13.,1,-5.572014331817627,1,False,"[3, 5, 11]",3,165,False,False,3,1.0
179,True,263,>263.,[179],>263._,0,-0.06696192920207977,1,False,[179],1,179,True,True,1,1.0
179,True,263,>263.,[179],>5x47.,1,-3.5744833946228027,1,False,"[5, 39]",2,195,False,False,1,0.5
186,False,272,>2x3x37.,"[2, 3, 31]",>2x3x37._,0,-4.267642361810431e-05,3,False,"[2, 3, 31]",3,186,True,True,3,1.0
