target_num,target_is_prime,input_string,target_str,target_factor_list,pred_str,beam_idx,log_prob,n_target_factors,pred_same_as_target,pred_factor_list,n_pred_factors,product,correct_product,correct_factorization,num_prime_factors_pred,percent_prime_factors_pred
9,False,10,>3x3.,"[3, 3]",>3x3.__,0,-0.0019394609844312072,2,False,"[3, 3]",2,9.0,True,True,2.0,1.0
9,False,10,>3x3.,"[3, 3]",>3x3x3.,1,-6.287845611572266,2,False,"[3, 3, 3]",3,27.0,False,False,3.0,1.0
10,False,11,>2x5.,"[2, 5]",>2x5._,0,-4.172316494077677e-06,2,False,"[2, 5]",2,10.0,True,True,2.0,1.0
10,False,11,>2x5.,"[2, 5]",>2x5.7,1,-9.210344314575195,2,False,"[2, 52]",2,104.0,False,False,1.0,0.5
15,False,16,>3x5.,"[3, 5]",>3x5.,0,-1.3589774425781798e-05,2,False,"[3, 5]",2,15.0,True,True,2.0,1.0
15,False,16,>3x5.,"[3, 5]",>3x3.,1,-12.136992454528809,2,False,"[3, 3]",2,9.0,False,False,2.0,1.0
19,True,21,>21.,[19],>21._,0,-0.03377426788210869,1,False,[19],1,19.0,True,True,1.0,1.0
19,True,21,>21.,[19],>5x3.,1,-3.9931960105895996,1,False,"[5, 3]",2,15.0,False,False,2.0,1.0
21,False,23,>3x7.,"[3, 7]",>3x7._,0,-4.410738256410696e-06,2,False,"[3, 7]",2,21.0,True,True,2.0,1.0
21,False,23,>3x7.,"[3, 7]",>3x7.7,1,-9.210345268249512,2,False,"[3, 70]",2,210.0,False,False,1.0,0.5
22,False,24,>2x12.,"[2, 11]",>2x12.,0,-9.298296390625183e-06,2,False,"[2, 11]",2,22.0,True,True,2.0,1.0
22,False,24,>2x12.,"[2, 11]",>23.__,1,-11.855260848999023,2,False,[21],1,21.0,False,False,0.0,0.0
29,True,32,>32.,[29],>32._,0,-0.031077366322278976,1,False,[29],1,29.0,True,True,1.0,1.0
29,True,32,>32.,[29],>5x5.,1,-4.6759352684021,1,False,"[5, 5]",2,25.0,False,False,2.0,1.0
40,False,44,>2x2x2x5.,"[2, 2, 2, 5]",>2x2x2x5.,0,-0.0034905984066426754,4,False,"[2, 2, 2, 5]",4,40.0,True,True,4.0,1.0
40,False,44,>2x2x2x5.,"[2, 2, 2, 5]",>2x2x5.__,1,-6.7829909324646,4,False,"[2, 2, 5]",3,20.0,False,False,3.0,1.0
54,False,60,>2x3x3x3.,"[2, 3, 3, 3]",>2x3x3x3.,0,-0.035000354051589966,4,False,"[2, 3, 3, 3]",4,54.0,True,True,4.0,1.0
54,False,60,>2x3x3x3.,"[2, 3, 3, 3]",>2x3.____,1,-3.384432077407837,4,False,"[2, 3]",2,6.0,False,False,2.0,1.0
68,False,75,>2x2x18.,"[2, 2, 17]",>2x2x18._____,0,-0.0052472492679953575,3,False,"[2, 2, 17]",3,68.0,True,True,3.0,1.0
68,False,75,>2x2x18.,"[2, 2, 17]",>2x2x2x2x2x2.,1,-5.530352592468262,3,False,"[2, 2, 2, 2, 2, 2]",6,64.0,False,False,6.0,1.0
70,False,77,>2x5x7.,"[2, 5, 7]",>2x18._,0,-0.7340418696403503,3,False,"[2, 17]",2,34.0,False,False,2.0,1.0
70,False,77,>2x5x7.,"[2, 5, 7]",>2x5x7.,1,-1.0171643495559692,3,False,"[2, 5, 7]",3,70.0,True,True,3.0,1.0
72,False,80,>2x2x2x3x3.,"[2, 2, 2, 3, 3]",>2x2x2x3x3.__,0,-0.032806918025016785,5,False,"[2, 2, 2, 3, 3]",5,72.0,True,True,5.0,1.0
72,False,80,>2x2x2x3x3.,"[2, 2, 2, 3, 3]",>2x2x2x3x3x3.,1,-3.4355990886688232,5,False,"[2, 2, 2, 3, 3, 3]",6,216.0,False,False,6.0,1.0
74,False,82,>2x41.,"[2, 37]",>2x2x205.__,0,-0.4369354546070099,2,False,"[2, 2, 167]",3,668.0,False,False,3.0,1.0
74,False,82,>2x41.,"[2, 37]",>2x2x2x104.,1,-2.2389166355133057,2,False,"[2, 2, 2, 85]",4,680.0,False,False,3.0,0.75
91,False,111,>7x14.,"[7, 13]",>151.,0,-0.18006271123886108,2,False,[127],1,127.0,False,False,1.0,1.0
91,False,111,>7x14.,"[7, 13]",>111.,1,-2.3552181720733643,2,False,[91],1,91.0,True,False,0.0,0.0
100,False,121,>2x2x5x5.,"[2, 2, 5, 5]",>2x2x5x5._,0,-0.07436957210302353,4,False,"[2, 2, 5, 5]",4,100.0,True,True,4.0,1.0
100,False,121,>2x2x5x5.,"[2, 2, 5, 5]",>2x2x2x14.,1,-2.6382176876068115,4,False,"[2, 2, 2, 13]",4,104.0,False,False,4.0,1.0
105,False,126,>3x5x7.,"[3, 5, 7]",>3x5x7.,0,-2.3841830625315197e-06,3,False,"[3, 5, 7]",3,105.0,True,True,3.0,1.0
105,False,126,>3x5x7.,"[3, 5, 7]",>3x38._,1,-13.06367015838623,3,False,"[3, 35]",2,105.0,True,False,1.0,0.5
111,False,133,>3x41.,"[3, 37]",>3x41.,0,-2.169585604860913e-05,2,False,"[3, 37]",2,111.0,True,True,2.0,1.0
111,False,133,>3x41.,"[3, 37]",>3x21.,1,-10.739821434020996,2,False,"[3, 19]",2,57.0,False,False,2.0,1.0
113,True,135,>135.,[113],>135._,0,-0.036154717206954956,1,False,[113],1,113.0,True,True,1.0,1.0
113,True,135,>135.,[113],>5x21.,1,-3.767688035964966,1,False,"[5, 19]",2,95.0,False,False,2.0,1.0
116,False,138,>2x2x32.,"[2, 2, 29]",>2x2x32.___,0,-0.0016439745668321848,3,False,"[2, 2, 29]",3,116.0,True,True,3.0,1.0
116,False,138,>2x2x32.,"[2, 2, 29]",>2x2x2x2x7.,1,-6.417133331298828,3,False,"[2, 2, 2, 2, 7]",5,112.0,False,False,5.0,1.0
118,False,141,>2x65.,"[2, 59]",>2x65._,0,-5.960462772236497e-07,2,False,"[2, 59]",2,118.0,True,True,2.0,1.0
118,False,141,>2x65.,"[2, 59]",>2x65.7,1,-9.210341453552246,2,False,"[2, 538]",2,1076.0,False,False,1.0,0.5
120,False,143,>2x2x2x3x5.,"[2, 2, 2, 3, 5]",>2x2x2x3x5._,0,-2.658349330886267e-05,5,False,"[2, 2, 2, 3, 5]",5,120.0,True,True,5.0,1.0
120,False,143,>2x2x2x3x5.,"[2, 2, 2, 3, 5]",>2x2x2x3x5.7,1,-9.210367202758789,5,False,"[2, 2, 2, 3, 52]",5,1248.0,False,False,4.0,0.8
124,False,147,>2x2x34.,"[2, 2, 31]",>2x2x34.__,0,-0.00013493582082446665,3,False,"[2, 2, 31]",3,124.0,True,True,3.0,1.0
124,False,147,>2x2x34.,"[2, 2, 31]",>2x2x2x14.,1,-8.938908576965332,3,False,"[2, 2, 2, 13]",4,104.0,False,False,4.0,1.0
142,False,167,>2x78.,"[2, 71]",>2x78.___,0,-0.006667998153716326,2,False,"[2, 71]",2,142.0,True,True,2.0,1.0
142,False,167,>2x78.,"[2, 71]",>2x18x21.,1,-5.340174198150635,2,False,"[2, 17, 19]",3,646.0,False,False,3.0,1.0
145,False,171,>5x32.,"[5, 29]",>171._,0,-0.38479873538017273,2,False,[145],1,145.0,True,False,0.0,0.0
145,False,171,>5x32.,"[5, 29]",>5x32.,1,-1.1661447286605835,2,False,"[5, 29]",2,145.0,True,True,2.0,1.0
146,False,172,>2x81.,"[2, 73]",>2x81._,0,-6.890059739816934e-05,2,False,"[2, 73]",2,146.0,True,True,2.0,1.0
146,False,172,>2x81.,"[2, 73]",>2x81.7,1,-9.210409164428711,2,False,"[2, 664]",2,1328.0,False,False,1.0,0.5
149,True,175,>175.,[149],>175._,0,-0.007312221918255091,1,False,[149],1,149.0,True,True,1.0,1.0
149,True,175,>175.,[149],>5x32.,1,-5.540578842163086,1,False,"[5, 29]",2,145.0,False,False,2.0,1.0
151,True,177,>177.,[151],>7x21.,0,-0.2825281322002411,1,False,"[7, 19]",2,133.0,False,False,2.0,1.0
151,True,177,>177.,[151],>177._,1,-1.6848758459091187,1,False,[151],1,151.0,True,True,1.0,1.0
153,False,180,>3x3x18.,"[3, 3, 17]",>3x3x18._,0,0.0,3,False,"[3, 3, 17]",3,153.0,True,True,3.0,1.0
