target_num,target_is_prime,target_str_full,target_factor_list,pred_str_full,pred_str,beam_idx,log_prob,n_target_factors,n_target_zeros,n_target_ones,pct_target_ones,pred_factor_list,n_pred_factors,product,correct_product,correct_factorization,num_prime_factors_pred,percent_prime_factors_pred,seq_dist_binary,seq_dist_lev
9,False,11x11.__________________________________________________________________,"[3, 3]",1001111.________________________________________________________________,1001111,0,-2.277902126312256,2,0,4,1.0,[79],1,79,False,False,1.0,1.0,0.06944444444444442,5
9,False,11x11.__________________________________________________________________,"[3, 3]",11x11x11x101111.________________________________________________________,11x11x11x101111,1,-6.546658515930176,2,0,4,1.0,"[3, 3, 3, 47]",4,1269,False,False,4.0,1.0,0.1527777777777778,11
10,False,10x101._________________________________________________________________,"[2, 5]",11x11x101x111.__________________________________________________________,11x11x101x111,0,-4.533854007720947,2,2,3,0.6,"[3, 3, 5, 7]",4,315,False,False,4.0,1.0,0.1527777777777778,11
10,False,10x101._________________________________________________________________,"[2, 5]",11x11x101x1011._________________________________________________________,11x11x101x1011,1,-4.615131378173828,2,2,3,0.6,"[3, 3, 5, 11]",4,495,False,False,4.0,1.0,0.16666666666666663,12
15,False,11x101._________________________________________________________________,"[3, 5]",11111.__________________________________________________________________,11111,0,-1.5793851613998413,2,1,4,0.8,[31],1,31,False,False,1.0,1.0,0.05555555555555558,3
15,False,11x101._________________________________________________________________,"[3, 5]",11x11x11x11x11x11x111.__________________________________________________,11x11x11x11x11x11x111,1,-7.50909948348999,2,1,4,0.8,"[3, 3, 3, 3, 3, 3, 7]",7,5103,False,False,7.0,1.0,0.25,18
19,True,10011.__________________________________________________________________,[19],10011111._______________________________________________________________,10011111,0,-1.7383015155792236,1,2,3,0.6,[159],1,159,False,False,0.0,0.0,0.05555555555555558,4
19,True,10011.__________________________________________________________________,[19],11x11x101x10111.________________________________________________________,11x11x101x10111,1,-6.343682289123535,1,2,3,0.6,"[3, 3, 5, 23]",4,1035,False,False,4.0,1.0,0.18055555555555558,13
21,False,11x111._________________________________________________________________,"[3, 7]",1010111.________________________________________________________________,1010111,0,-2.2358062267303467,2,0,5,1.0,[87],1,87,False,False,0.0,0.0,0.06944444444444442,3
21,False,11x111._________________________________________________________________,"[3, 7]",11x11x11x10111._________________________________________________________,11x11x11x10111,1,-5.284028053283691,2,0,5,1.0,"[3, 3, 3, 23]",4,621,False,False,4.0,1.0,0.13888888888888884,10
22,False,10x1011.________________________________________________________________,"[2, 11]",10x11x11x11x111.________________________________________________________,10x11x11x11x111,0,-4.81319522857666,2,2,4,0.6666666666666666,"[2, 3, 3, 3, 7]",5,378,False,False,5.0,1.0,0.1527777777777778,11
22,False,10x1011.________________________________________________________________,"[2, 11]",10x11x11x101x111._______________________________________________________,10x11x11x101x111,1,-4.987518310546875,2,2,4,0.6666666666666666,"[2, 3, 3, 5, 7]",5,630,False,False,5.0,1.0,0.16666666666666663,12
29,True,11101.__________________________________________________________________,[29],111011._________________________________________________________________,111011,0,-1.4643362760543823,1,1,4,0.8,[59],1,59,False,False,1.0,1.0,0.02777777777777779,2
29,True,11101.__________________________________________________________________,[29],11x100111.______________________________________________________________,11x100111,1,-3.1138620376586914,1,1,4,0.8,"[3, 39]",2,117,False,False,1.0,0.5,0.11111111111111116,7
40,False,10x10x10x101.___________________________________________________________,"[2, 2, 2, 5]",10x11x11x10111._________________________________________________________,10x11x11x10111,0,-5.09482479095459,4,4,5,0.5555555555555556,"[2, 3, 3, 23]",4,414,False,False,4.0,1.0,0.06944444444444442,5
40,False,10x10x10x101.___________________________________________________________,"[2, 2, 2, 5]",10x11x11x11x11x111._____________________________________________________,10x11x11x11x11x111,1,-7.094793796539307,4,4,5,0.5555555555555556,"[2, 3, 3, 3, 3, 7]",6,1134,False,False,6.0,1.0,0.1527777777777778,11
54,False,10x11x11x11.____________________________________________________________,"[2, 3, 3, 3]",10x110111.______________________________________________________________,10x110111,0,-1.6019409894943237,4,1,7,0.875,"[2, 55]",2,110,False,False,1.0,0.5,0.06944444444444442,5
54,False,10x11x11x11.____________________________________________________________,"[2, 3, 3, 3]",10x11x100101.___________________________________________________________,10x11x100101,1,-2.770704746246338,4,1,7,0.875,"[2, 3, 37]",3,222,False,False,3.0,1.0,0.06944444444444442,4
